"Year","Month","TicketSell"
"2007","April","59376"
"2007","August","73398"
"2007","December","54265"
"2007","February","49105"
"2007","January","53107"
"2007","July","76884"
"2007","June","68172"
"2007","March","61677"
"2007","May","63607"
"2007","November","51293"
"2007","October","55170"
"2007","September","47356"
"2008","April","51623"
"2008","August","59007"
"2008","December","45347"
"2008","February","50978"
"2008","January","53057"
"2008","July","66826"
"2008","June","59799"
"2008","March","60349"
"2008","May","61340"
"2008","November","41155"
"2008","October","56859"
"2008","September","39049"
"2009","April","50888"
"2009","August","59594"
"2009","December","49948"
"2009","February","41672"
"2009","January","45535"
"2009","July","66027"
"2009","June","56701"
"2009","March","49979"
"2009","May","52502"
"2009","November","40714"
"2009","October","91728"
"2009","September","43831"
"2010","April","57437"
"2010","August","63752"
"2010","December","51400"
"2010","February","42718"
"2010","January","47630"
"2010","July","74194"
"2010","June","63489"
"2010","March","56482"
"2010","May","54989"
"2010","November","48268"
"2010","October","85828"
"2010","September","45896"
"2011","April","49773"
"2011","August","57138"
"2011","December","63606"
"2011","February","46877"
"2011","January","46039"
"2011","July","62459"
"2011","June","56670"
"2011","March","51672"
"2011","May","51460"
"2011","November","45281"
"2011","October","82202"
"2011","September","45636"
"2012","April","56133"
"2012","August","74149"
"2012","December","58057"
"2012","February","50107"
"2012","January","52880"
"2012","July","78303"
"2012","June","63396"
"2012","March","55253"
"2012","May","57863"
"2012","November","47743"
"2012","October","76578"
"2012","September","44964"
"2013","April","58195"
"2013","August","64116"
"2013","December","65567"
"2013","February","53944"
"2013","January","49599"
"2013","July","74000"
"2013","June","65944"
"2013","March","58219"
"2013","May","59283"
"2013","November","41598"
"2013","October","46464"
"2013","September","54803"
"2014","April","56605"
"2014","August","55250"
"2014","December","60652"
"2014","February","50451"
"2014","January","52623"
"2014","July","72271"
"2014","June","64836"
"2014","March","58319"
"2014","May","60673"
"2014","November","39561"
"2014","October","45413"
"2014","September","41096"
"2015","April","48972"
"2015","August","54824"
"2015","December","59854"
"2015","February","48379"
"2015","January","49004"
"2015","July","67998"
"2015","June","66177"
"2015","March","52880"
"2015","May","54682"
"2015","November","42729"
"2015","October","46167"
"2015","September","38310"
"2016","April","49703"
"2016","August","59721"
"2016","December","61443"
"2016","February","51235"
"2016","January","48483"
"2016","July","73768"
"2016","June","64368"
"2016","March","56791"
"2016","May","57088"
"2016","November","46589"
"2016","October","47565"
"2016","September","46730"
"2017","April","52725"
"2017","August","64619"
"2017","December","53938"
"2017","February","47919"
"2017","January","50930"
"2017","July","73905"
"2017","June","66530"
"2017","March","55574"
"2017","May","59468"
"2017","November","47714"
"2017","October","50260"
"2017","September","44934"
"2018","April","53847"
"2018","August","56659"
"2018","December","51576"
"2018","February","53555"
"2018","January","55304"
"2018","July","71909"
"2018","June","68197"
"2018","March","62690"
"2018","May","62101"
"2018","November","44204"
"2018","October","47337"
"2018","September","42545"
"2019","April","57002"
"2019","August","61112"
"2019","December","53720"
"2019","February","48338"
"2019","January","50699"
"2019","July","75972"
"2019","June","65920"
"2019","March","63273"
"2019","May","62585"
"2019","November","42639"
"2019","October","46634"
"2019","September","38628"
"2020","April","0"
"2020","August","0"
"2020","December","0"
"2020","February","45300"
"2020","January","53562"
"2020","July","0"
"2020","June","0"
"2020","March","19121"
"2020","May","0"
"2020","November","0"
"2020","October","0"
"2020","September","0"
"2021","April","18573"
"2021","August","35112"
"2021","December","35138"
"2021","February","7279"
"2021","January","3227"
"2021","July","37624"
"2021","June","29342"
"2021","March","12966"
"2021","May","27091"
"2021","November","27500"
"2021","October","24895"
"2021","September","23094"
"2022","April","43092"
"2022","August","52999"
"2022","December","42994"
"2022","February","29331"
"2022","January","27946"
"2022","July","58760"
"2022","June","47387"
"2022","March","40041"
"2022","May","40922"
"2022","November","34869"
"2022","October","38534"
"2022","September","36890"
"2023","April","43917"
"2023","August","49849"
"2023","December","44771"
"2023","February","36627"
"2023","January","39030"
"2023","July","57916"
"2023","June","51691"
"2023","March","45255"
"2023","May","41331"
"2023","November","36105"
"2023","October","40427"
"2023","September","36844"
"2024","April","44341"
"2024","August","45777"
"2024","December","44357"
"2024","February","40650"
"2024","January","37837"
"2024","July","59607"
"2024","June","49373"
"2024","March","44858"
"2024","May","40178"
"2024","November","35248"
"2024","October","39243"
"2024","September","32967"
"2025","April","21415"
"2025","August","2209"
"2025","December","2639"
"2025","February","34759"
"2025","January","39384"
"2025","July","4517"
"2025","June","7227"
"2025","March","44216"
"2025","May","8110"
"2025","November","1938"
"2025","October","2979"
"2025","September","1992"
"2026","April","4"
"2026","August","0"
"2026","December","0"
"2026","February","210"
"2026","January","175"
"2026","July","0"
"2026","June","0"
"2026","March","59"
"2026","May","15"
"2026","November","0"
"2026","October","0"
"2026","September","0"
